Номер постамата|Дата ввода в эксплуатацию|Адрес постамата|Режим работы|Аренда|Точность|Широта|Долгота
PS3122|2020-11-09 00:00:00|Алтайский край, Суетский район , село Верх-Суетка,улица Ленина, зд 81|ПН-ПТ 08:45-16:30, СБ-ВС выходной|НЕТ|97.92|53.30317001012301|80.0451299734624
PS3140|2020-11-09 00:00:00|Карачаево-Черкесская Респ, Хабезский район , аул Хабез,улица У.Хабекова, дом 67А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|85.39|44.04527393000845|41.76650469408367
PS3173|2020-11-09 00:00:00|Алтайский край, Мамонтовский район , село Мамонтово,улица Советская, влд 150|ПН-ПТ 09:00-17:15, СБ-ВС выходной|НЕТ|97.9|52.70287998146512|81.62566002534032
PS3174|2020-11-09 00:00:00|Омская область, Одесский район , село Одесское,улица Ленина, дом 34|ПН-ПТ 09:00-17:15, СБ-ВС выходной|НЕТ|99.26|54.20999998422806|72.96010997749869
PS3183|2020-11-09 00:00:00|Иркутская область,город Усть-Илимск, проспект Мира, дом 5|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.74|57.95634998844767|102.7390299750208
PS1792|2020-11-10 00:00:00|Республика Башкортостан,город Уфа,улица Рубежная, дом 174|ПН-ВС 10:00-22:00|НЕТ|95.92|54.67513999653752|55.92905997109091
PS2276|2020-11-10 00:00:00|Республика Бурятия,город Улан-Удэ, Октябрьский район ,улица Терешковой, дом 3Б|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.23|51.80836000563966|107.6044500095791
PS2279|2020-11-10 00:00:00|Республика Бурятия,город Улан-Удэ, Октябрьский район ,улица Терешковой, дом 2А|ПН-ВС 06:00-23:00|НЕТ|99.23|51.80964998053835|107.599769973941
PS2340|2020-11-10 00:00:00|г Москва, Кутузовский проспект , дом 71|ПН-ПТ 10:00-19:00, СБ-ВС выходной|НЕТ|100.0|55.72367999969222|37.45186998390213
PS2403|2020-11-10 00:00:00|Свердловская область,город Заречный,улица Бажова, дом 24|ПН-ПТ 09:00-18:30, СБ 08:30-15:00, ВС выходной|НЕТ|95.83|56.81255225838295|61.32063093708186
PS2555|2020-11-10 00:00:00|Республика Башкортостан, Туймазинский район ,город Туймазы,улица Комарова, дом 36|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.28|54.59686999423283|53.71383997318981
PS2576|2020-11-10 00:00:00|Ростовская область,город Каменск-Шахтинский, мкр Лиховской,улица Советская, дом 19|ПН-ПТ 08:30-17:30, СБ 09:00-15:00, ВС выходной|НЕТ|98.86|48.15587000835495|40.20150998616663
PS2626|2020-11-10 00:00:00|Ростовская область,город Новочеркасск,улица Привокзальная, дом 12|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.49|47.47818001894197|40.06945997479812
PS2730|2020-11-10 00:00:00|Челябинская область,город Кыштым,улица Возмездия, дом 39|ПН-ПТ 09:15-18:00, СБ-ВС выходной|НЕТ|94.73|55.73315208031458|60.57136491568428
PS2761|2020-11-10 00:00:00|Республика Коми,город Сосногорск,улица Пионерская, дом 11|ПН-ЧТ 09:00-18:00, ПТ-СБ выходной, ВС 10:00-13:30|НЕТ|95.92|63.59093178493021|53.9345806689638
PS2887|2020-11-10 00:00:00|Красноярский край,город Ачинск, мкр 3-й, дом 39|ПН-ВС 06:00-23:59|НЕТ|94.59|56.25818000932139|90.487899980735
PS2890|2020-11-10 00:00:00|Забайкальский край,город Чита,улица Кирова, дом 3|ПН-ВС 07:00-23:00|НЕТ|95.12|52.02147001960384|113.538850030647
PS2918|2020-11-10 00:00:00|Московская область,город Балашиха, мкр Железнодорожный,улица Пролетарская, дом 5|ПН-ПТ 08:30-20:00, СБ 09:00-18:30, ВС выходной|НЕТ|98.84|55.74798999156243|38.00974003877946
PS2939|2020-11-10 00:00:00|Красноярский край, Сухобузимский район , село Сухобузимское,улица Комсомольская, дом 33А|ПН-ПТ 08:00-16:15, СБ-ВС выходной|НЕТ|99.47|56.50080888433391|93.27331095077659
PS2957|2020-11-10 00:00:00|Тверская область,город Нелидово,улица Панфилова, дом 6|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.65|56.22145998115718|32.77379998600753
PS2966|2020-11-10 00:00:00|Иркутская область, Братский район ,город Вихоревка,улица Дзержинского, дом 42 литер а|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|98.45|56.12319000350459|101.1646199697464
PS2972|2020-11-10 00:00:00|Самарская область,город Самара, Кировский район , проспект Металлургов, дом 83|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.23|53.23652998229326|50.27866003582193
PS2975|2020-11-10 00:00:00|Республика Бурятия,город Улан-Удэ, Октябрьский район ,улица Боевая, дом 5Г|ПН-ВС 06:00-23:00|НЕТ|99.18|51.80641482259225|107.6314791874586
PS2989|2020-11-10 00:00:00|Иркутская область, Черемховский район ,рабочий поселок Михайловка, кв-л 1, дом 4|ПН выходной, ВТ-ПТ 09:00-17:45, СБ 09:00-13:45, ВС выходной|НЕТ|88.95|52.95548000000008|103.2915300000001
PS2991|2020-11-10 00:00:00|Иркутская область,город Усолье-Сибирское,улица Орджоникидзе, дом 31А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.61|52.75281001476236|103.6596399655843
PS3003|2020-11-10 00:00:00|Свердловская область, Талицкий район ,город Талица,улица Рябиновая, дом 6|ПН-ПТ 08:30-17:30, СБ 09:00-15:30, ВС выходной|НЕТ|99.18|57.01456001820722|63.72554999018345
PS3007|2020-11-10 00:00:00|Свердловская область, Верхотурский район ,город Верхотурье,улица Ленина, дом 10|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ|99.25|58.86058999638101|60.81463001706388
PS3008|2020-11-10 00:00:00|Свердловская область, Новолялинский район ,город Новая Ляля,улица Челюскинцев, дом 3|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ|99.3|59.04324000656754|60.57570998583719
PS3011|2020-11-10 00:00:00|Свердловская область, Слободо-Туринский район , село Туринская Слобода,улица Первомайская, дом 24|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ|99.51|57.61539998353246|64.39234002697856
PS3023|2020-11-10 00:00:00|Тверская область, Рамешковский район , пгт Рамешки,улица Советская, дом 45|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ|98.9|57.33899487161496|36.04857275127068
PS3028|2020-11-10 00:00:00|Ярославская область, Рыбинский район ,город Рыбинск,улица Максима Горького, дом 3А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|94.8|58.03924998642842|38.85676002076676
PS3029|2020-11-10 00:00:00|Ярославская область, Рыбинский район ,город Рыбинск,улица Моторостроителей, дом 24|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ|96.88|58.04165999313895|38.81035000961757
PS3032|2020-11-10 00:00:00|Ярославская область, Тутаевский район ,город Тутаев,улица 2-я Овражная, дом 29|ПН выходной, ВТ-ПТ 08:00-17:00, СБ 08:30-13:45, ВС выходной|НЕТ|99.22|57.88567000901591|39.53664996639668
PS3038|2020-11-10 00:00:00|Алтайский край, Павловский район , поселок Комсомольский,улица Московская, дом 8|ПН выходной, ВТ-ЧТ 09:00-16:15, ПТ 09:00-12:45, СБ-ВС выходной|НЕТ|97.91|53.26910460610975|83.38383823461734
PS3055|2020-11-10 00:00:00|Свердловская область,город Березовский,улица Гагарина, дом 9|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.15|56.90939999041586|60.82284000740518
PS3068|2020-11-10 00:00:00|Тюменская область, Исетский район , село Исетское,улица Горького, дом 3|ПН-ПТ 08:00-16:00, СБ-ВС выходной|НЕТ|99.31|56.48040002048035|65.32476003529726
PS3090|2020-11-10 00:00:00|Респ. Калмыкия,город Элиста, ул.имени Номто Очирова, д., 7, стр., А|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ|86.81|46.30619000471486|44.26883998525742
PS3101|2020-11-10 00:00:00|Республика Калмыкия,город Элиста,улицаимени Н.С.Хрущева, дом 21|ПН выходной, ВТ-ПТ 08:30-17:45, СБ 08:30-16:45, ВС выходной|НЕТ|87.48|46.30437000016886|44.30087000331881
PS3133|2020-11-10 00:00:00|Омская область, Тарский район ,город Тара,улица Спасская, дом 47|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|97.94|56.89646189104532|74.38302062212247
PS3135|2020-11-10 00:00:00|Алтайский край, Табунский район , село Табуны,улица Пушкина, дом 12А|ПН-ПТ 09:00-17:15, СБ-ВС выходной|НЕТ|99.27|52.77672999667783|78.78829996976458
PS3139|2020-11-10 00:00:00|Республика Бурятия, Заиграевский район , пгт Онохой,улица Юбилейная, дом 4|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ|100.0|51.92802001346277|108.0674199890659
PS3175|2020-11-10 00:00:00|Омская область, Знаменский район , село Знаменское, Рабочий пер, дом 7|ПН-ПТ 08:30-17:00, СБ-ВС выходной|НЕТ|99.29|57.12807998858767|73.8282899902334
PS3177|2020-11-10 00:00:00|Иркутская область,город Усть-Илимск, проспект Мира, дом 70|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной|НЕТ|95.83|57.93333998785045|102.7279299882836
PS3180|2020-11-10 00:00:00|Иркутская область,город Усть-Илимск,улица Ленина, дом 12|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.74|57.98626001364843|102.6600100019295
PS3181|2020-11-10 00:00:00|Иркутская область,город Усть-Илимск,улица Наймушина, дом 1А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.0|57.99181000701702|102.6538199664344
PS395|2020-11-10 00:00:00|г Санкт-Петербург, проспект Науки, дом 41|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|60.00870998483558|30.41250001192674
PS1322|2020-11-11 00:00:00|Ярославская область, Рыбинский район ,город Рыбинск,улица Ошурковская, дом 4|ПН-ПТ 09:30-18:00, СБ-ВС выходной|НЕТ|94.69|58.02529998497354|38.94415996919579
PS1592|2020-11-11 00:00:00|Московская область,город Клин,город Высоковск,улица Владыкина, дом 22|ПН выходной, ВТ-ПТ 09:15-18:30, СБ 10:00-14:30, ВС выходной|НЕТ|98.31|56.32176998831414|36.55476997446024
PS1861|2020-11-11 00:00:00|Воронежская область, Новоусманский район , поселок Отрадное,улица Советская, дом 32в|ПН 08:00-17:45, ВТ выходной, СР-ПТ 08:00-17:45, СБ-ВС выходной|НЕТ|100.0|51.66895998719565|39.34457002177115
PS1878|2020-11-11 00:00:00|Краснодарский край, Абинский район , станица Мингрельская,улица Советская, дом 67|ПН выходной, ВТ-ПТ 08:00-16:30, СБ 08:00-12:45, ВС выходной|НЕТ|98.97|45.01412998187084|38.33741000776058
PS1886|2020-11-11 00:00:00|Краснодарский край, Абинский район , станица Федоровская,улица Красная, дом 3|ПН выходной, ВТ-ЧТ 08:00-16:00, ПТ 08:00-13:00, СБ-ВС выходной|НЕТ|88.75|44.85431998728509|38.28824997799856
PS1983|2020-11-11 00:00:00|Кабардино-Балкарская Респ,город Нальчик,улица Пушкина, дом 60|ПН-ПТ 08:30-17:30, СБ 08:30-15:30, ВС выходной|НЕТ|96.15|43.48202000534255|43.60711999405507
PS2056|2020-11-11 00:00:00|Астраханская область, Камызякский район ,город Камызяк,улица Максима Горького, дом 89|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.31|46.10587002062513|48.07221999767805
PS2275|2020-11-11 00:00:00|Краснодарский край,город Краснодар,улицаимени40-летия Победы, дом 33/1|ПН-ПТ 09:00-18:00, СБ 09:00-15:00, ВС выходной|НЕТ|83.52|45.12968000729089|39.00868997862966
PS2500|2020-11-11 00:00:00|Кемеровская область - Кузбасс, пгт Краснобродский,улица Комсомольская, дом 20|ПН-ВС 06:00-23:59|НЕТ|98.15|54.16239001982026|86.44574997315453
PS2582|2020-11-11 00:00:00|Ростовская область, Каменский район , хутор Старая Станица,улица Буденного, дом 101А|ПН 08:00-15:00, ВТ-ПТ 09:00-17:00, СБ-ВС выходной|НЕТ|98.19|48.34955727145187|40.28127335288961
PS2721|2020-11-11 00:00:00|Челябинская область,город Кыштым,улица Республики, дом 8|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ|95.83|55.71110999477614|60.54018999475062
PS2769|2020-11-11 00:00:00|Забайкальский край, Карымский район , пгт Дарасун,улица Молодежная, дом 6|ПН-ВС 07:00-23:00|НЕТ|100.0|51.66194999202244|113.9856400033392
PS2782|2020-11-11 00:00:00|Республика Карелия, Беломорский район , поселок Сосновец,улица Железнодорожная, дом 2|ПН-ЧТ 09:00-16:45, ПТ 09:00-16:30, СБ-ВС выходной|НЕТ|95.56|64.53394000163951|34.75247999408865
PS2787|2020-11-11 00:00:00|Воронежская область,город Воронеж,улица Новосибирская, дом 32|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.23|51.61200000979565|39.2367299642585
PS2861|2020-11-11 00:00:00|Забайкальский край, Карымский район , пгт Карымское,улица Ленинградская, зд 55|ПН-ВС 07:00-20:00|НЕТ|98.7|51.62503998802279|114.3455900225535
PS2877|2020-11-11 00:00:00|Забайкальский край,город Чита, проспект Советов, дом 4|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ|95.56|52.03171999753999|113.4480300142653
PS2908|2020-11-11 00:00:00|Алтайский край, Ельцовский район , село Ельцовка,улицаимени Рыжакова, дом 22|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ|96.66|53.25321001152193|86.26385999203842
PS2909|2020-11-11 00:00:00|Алтайский край, Тогульский район , село Тогул,улица Пролетарская, дом 21|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ|99.32|53.46782998343363|85.91278003804047
PS2910|2020-11-11 00:00:00|Алтайский край, Целинный район , село Целинное,улица Советская, дом 34|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ|99.3|53.07924000689724|85.66197002570237
PS2934|2020-11-11 00:00:00|Красноярский край, Козульский район , поселок Новочернореченский,улица Советская, дом 94|ПН выходной, ВТ 09:00-17:00, СР-ЧТ выходной, ПТ 09:00-17:00, СБ-ВС выходной|НЕТ|100.0|56.2706400017583|91.08727998616513
PS2940|2020-11-11 00:00:00|Красноярский край, Большемуртинский район , пгт Большая Мурта,улица Партизанская, дом 110|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|56.91052999669245|93.14029004105379
PS2941|2020-11-11 00:00:00|Алтайский край, Быстроистокский район , село Быстрый Исток,улица Ленина, дом 54|ПН-ПТ 09:00-17:15, СБ-ВС выходной|НЕТ|99.38|52.37265001161612|84.39576000179898
PS2942|2020-11-11 00:00:00|Алтайский край,город Алейск,улица Советская, дом 102|ПН-ПТ 08:30-17:00, СБ 08:30-12:00, ВС выходной|НЕТ|95.45|52.49405001871943|82.77717996517998
PS2945|2020-11-11 00:00:00|Алтайский край, Смоленский район , село Новотырышкино,улица Советская, дом 82А|ПН-ПТ 09:00-17:00, СБ-ВС выходной|НЕТ|99.38|52.08323999405059|84.90100997728342
PS2948|2020-11-11 00:00:00|Алтайский край, Советский район , село Советское,улица Ленина, дом 89|ПН-ПТ 09:00-17:15, СБ-ВС выходной|НЕТ|99.29|52.28576001817629|85.41362001812718
PS2951|2020-11-11 00:00:00|Алтайский край, Петропавловский район , село Петропавловское,улица Ленина, дом 81|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ|99.41|52.06979001502961|84.10956000169256
PS2952|2020-11-11 00:00:00|Алтайский край, Солонешенский район , село Солонешное,улица Красноармейская, дом 5|ПН-ПТ 08:45-16:30, СБ-ВС выходной|НЕТ|99.42|51.6613899970713|84.31967000678168
PS2988|2020-11-11 00:00:00|Иркутская область,город Свирск,улица Лермонтова, дом 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.65|53.0709700021292|103.3447499681938
PS3000|2020-11-11 00:00:00|Свердловская область,город Серов,улица Народная, дом 8А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.74|59.59775000791893|60.58564002652915
PS3002|2020-11-11 00:00:00|Свердловская область,город Серов,улица Заславского, дом 15/6|ПН-ПТ 09:00-19:00, СБ 09:00-15:30, ВС выходной|НЕТ|95.29|59.59916998613588|60.57048998799664
PS3010|2020-11-11 00:00:00|Свердловская область, Новолялинский район , поселок Лобва,улица Ханкевича, дом 2|ПН-СР 08:15-17:45, ЧТ выходной, ПТ 08:15-17:45, СБ-ВС выходной|НЕТ|100.0|59.17856998237716|60.49269997537726
PS3095|2020-11-11 00:00:00|Республика Калмыкия, Кетченеровский район , поселок Кетченеры,улица Ленина, дом 99|ПН-ПТ 08:45-16:30, СБ-ВС выходной|НЕТ|100.0|47.3099200182175|44.5177599622485
PS3096|2020-11-11 00:00:00|Республика Калмыкия, Малодербетовский район , село Малые Дербеты,улица Советская, дом 13с1|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ|94.93|47.95260474964707|44.67733648408794
PS3103|2020-11-11 00:00:00|Республика Калмыкия, Октябрьский район , поселок Большой Царын,улица Ленина, дом 16В|ПН-ЧТ 08:45-16:45, ПТ 08:45-16:30, СБ-ВС выходной|НЕТ|100.0|47.85442293497829|45.42564192060979
PS3105|2020-11-11 00:00:00|Карачаево-Черкесская Респ,город Черкесск,улица Гутякулова, дом 2|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|94.19|44.24859001964731|42.04097001908391
PS3136|2020-11-11 00:00:00|Республика Бурятия, Заиграевский район , село Новая Брянь,улица Октябрьская, дом 2|ПН-ПТ 09:00-17:00, СБ-ВС выходной|НЕТ|99.41|51.71295001716956|108.2576300149121
PS3138|2020-11-11 00:00:00|Республика Бурятия, Заиграевский район , пгт Заиграево,улица Первомайская, дом 1|ПН-ПТ 08:30-17:30, СБ-ВС выходной|НЕТ|100.0|51.83532999448261|108.2655499914035
PS3186|2020-11-11 00:00:00|Приморский край,город Владивосток, Первомайский район ,улица Калинина, дом 277|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.24|43.09393000933059|131.9044199734481
PS3190|2020-11-11 00:00:00|Приморский край,город Владивосток, проспект 100-летия Владивостока, дом 150в|ПН-ПТ 09:00-18:00, СБ 09:30-16:00, ВС выходной|НЕТ|96.92|43.18031998033649|131.9205500240999
PS3193|2020-11-11 00:00:00|Приморский край,город Владивосток, Фрунзенский район ,улица Посьетская, дом 14|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.24|43.10901999152685|131.8786099980952
PS3195|2020-11-11 00:00:00|Приморский край,город Владивосток,улица Калинина, дом 29|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.83|43.10205999440609|131.9226399678377
PS453|2020-11-11 00:00:00|Пермский край,город Пермь, Свердловский район ,улица 1-я Красноармейская, дом 21|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.24|58.00192000717013|56.26313002606068
PS1443|2020-11-12 00:00:00|Московская область,город Долгопрудный, проспект Пацаева, дом 14|ПН-ПТ 09:00-19:00, СБ 09:30-16:30, ВС выходной|НЕТ|96.3|55.94884997976425|37.49592996085804
PS2286|2020-11-12 00:00:00|обл. Свердловская,город Каменск-Уральский, проспект . Победы,дом , 41, корпус, А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|87.97|56.42334997953071|61.90938997171324
PS2291|2020-11-12 00:00:00|Челябинская область,город Челябинск, Калининский район ,улица Братьев Кашириных, дом 90|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.32|55.17906998990992|61.3342699601009
PS2303|2020-11-12 00:00:00|Свердловская область,город Каменск-Уральский,улица Лермонтова, дом 119|ПН-ПТ 09:30-18:30, СБ-ВС выходной|НЕТ|96.72|56.43090002072552|61.85393001970553
PS2617|2020-11-12 00:00:00|Алтайский край, Красногорский район , село Красногорское,улица Советская, дом 99А|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.41|52.29541001948314|86.19288002429198
PS2661|2020-11-12 00:00:00|Ивановская область, Тейковский район , село Новое Леушино,площадь Ленина, дом 12|ПН-ВС - выходной|НЕТ|99.39|56.80813000388821|40.51011003577622
PS2732|2020-11-12 00:00:00|Челябинская область,город Миасс, проспект Макеева, дом 25А|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ|95.92|55.15219999717186|60.15227995819984
PS2843|2020-11-12 00:00:00|Архангельская область,город Архангельск,улица Прокопия Галушина, дом 14|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.77|64.52896999406116|40.61759000672848
PS2886|2020-11-12 00:00:00|Забайкальский край, Читинский район , село Домна,улица Геологическая, дом 1|ПН 09:00-17:30, ВТ-ПТ 09:15-17:15, СБ-ВС выходной|НЕТ|99.35|51.88971999654999|113.1436199942341
PS2902|2020-11-12 00:00:00|Архангельская область,город Северодвинск, Приморский бульвар , дом 30|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.61|64.6032899825849|39.80461999764881
PS2936|2020-11-12 00:00:00|Красноярский край,город Ачинск, мкр 8-й, дом 6|ПН-ВС 06:00-23:59|НЕТ|94.44|56.26952998632078|90.49308997136217
PS2938|2020-11-12 00:00:00|Иркутская область,город Иркутск,улица Рабочего Штаба, дом 9|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.0|52.30137001364557|104.2972599735005
PS2943|2020-11-12 00:00:00|Алтайский край, Усть-Пристанский район , село Усть-Чарышская Пристань,улица Пушкина, дом 9|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.46|52.39210998285193|83.67304003968513
PS2946|2020-11-12 00:00:00|Алтайский край, Топчихинский район , село Топчиха,улица Привокзальная, дом 42|ПН-ПТ 08:30-16:45, СБ-ВС выходной|НЕТ|99.38|52.81559998300654|83.11815997730855
PS2964|2020-11-12 00:00:00|Алтайский край, Калманский район , село Калманка,улица Ленина, дом 19|ПН-ПТ 09:00-17:15, СБ-ВС выходной|НЕТ|99.29|52.89680000529475|83.54310000480297
PS3034|2020-11-12 00:00:00|Ярославская область, Ростовский район ,рабочий поселок Семибратово,улица Строителей, дом 11|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.1|57.30001000561751|39.54068995990824
PS3107|2020-11-12 00:00:00|Карачаево-Черкесская Респ,город Черкесск,улица Октябрьская, дом 27|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.49|44.24055998876716|42.06148003324003
PS3108|2020-11-12 00:00:00|Карачаево-Черкесская Респ,город Черкесск, проспект Ленина, дом 147|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.11|44.21423000000004|42.04478000000006
PS3143|2020-11-12 00:00:00|Республика Калмыкия, Черноземельский район , поселок Комсомольский,улица Аллея Памяти, дом 38|ПН-ПТ 09:00-17:30, СБ-ВС выходной|НЕТ|100.0|45.33084474866266|46.04132723792939
PS3144|2020-11-12 00:00:00|Республика Калмыкия, Яшкульский район , поселок Яшкуль,улица Н.К.Лиджиева, дом 7|ПН-ПТ 08:45-17:45, СБ-ВС выходной|НЕТ|94.6|46.16563998915518|45.34352000120259
PS3151|2020-11-12 00:00:00|Карачаево-Черкесская Респ, Усть-Джегутинский район ,город Усть-Джегута,улица Курортная, дом 195|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|99.38|44.08578999065134|41.97785001340222
PS3172|2020-11-12 00:00:00|Тюменская область,город Тюмень,улица Мельникайте, дом 135Б|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|96.0|57.12226998858259|65.55058996451581
PS3205|2020-11-12 00:00:00|Ставропольский край, Красногвардейский район , село Преградное, Октябрьская пл, дом 2|ПН-ЧТ 08:00-13:15, ПТ 08:00-12:45, СБ-ВС выходной|НЕТ|90.03|45.8475999887323|41.51736996207265
PS872|2020-11-12 00:00:00|г Москва, Пресненский район ,улица Большая Грузинская, дом 12|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|94.16|55.76341001119624|37.57889001517506
PS1541|2020-11-13 00:00:00|Воронежская область, Лискинский район ,город Лиски,улица Коммунистическая, дом 7|ПН-ПТ 08:00-16:30, СБ 08:00-12:30, ВС выходной|НЕТ|99.26|50.97803293022223|39.50701101005686
PS1649|2020-11-13 00:00:00|"Воронежская область, Новоусманский район , поселок 1-го отделения совхоза ""Масловский"",улица Школьная, дом 23а"|ПН-СР 08:00-17:15, ЧТ выходной, ПТ 08:00-17:15, СБ 08:00-11:40, ВС выходной|НЕТ|98.09|51.53586999119068|39.3379499946432
PS1942|2020-11-13 00:00:00|Мурманская область,город Апатиты,улица Бредова, дом 26|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|95.65|67.5617599895046|33.40579003719881
PS2290|2020-11-13 00:00:00|Свердловская область,город Нижний Тагил,улица Юности, дом 16|ПН-ПТ 09:00-18:30, СБ 09:00-14:00, ВС выходной|НЕТ|96.08|57.91025999836171|60.09350001816335
PS2296|2020-11-13 00:00:00|Челябинская область,город Златоуст, проспект Мира, дом 22А|ПН-ПТ 09:00-18:00, СБ-ВС выходной|НЕТ|95.92|55.11287998646165|59.70899001681664
PS2304|2020-11-13 00:00:00|Свердловская область, Невьянский район , пгт Верх-Нейвинский,улица 8 Марта, дом 5|ПН-ПТ 09:00-17:30, СБ-ВС выходной|НЕТ|100.0|57.2645199798348|60.13562997809407
PS2311|2020-11-13 00:00:00|Челябинская область,город Златоуст, проспект имени Ю.А.Гагарина 3-й мкр, дом 43|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|80.64|55.14632998274001|59.66694999470698
PS2565|2020-11-13 00:00:00|Кемеровская область - Кузбасс,город Новокузнецк, район Центральный,улица Орджоникидзе, дом 35|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|98.45|53.76400998037496|87.12498998601222
PS2645|2020-11-13 00:00:00|Республика Карелия, Пряжинский район , пгт Пряжа,улица Советская, дом 55|ПН-ПТ 00:00-23:59, СБ 00:00-23:59, ВС 00:00-23:59|НЕТ|100.0|61.69567000665501|33.62596997694391
PS2762|2020-11-13 00:00:00|Республика Коми,город Сосногорск, мкр 6-й, дом 18/1|ПН-СР 09:00-18:00, ЧТ выходной, ПТ 09:00-18:00, СБ 09:30-13:00, ВС выходной|НЕТ|94.0|63.58897178525638|53.91698281645623
PS2771|2020-11-13 00:00:00|Белгородская область, Белгородский район , мкр Таврово-5 (с Таврово),улица Надежды, дом 6|ПН-ПТ 09:15-16:30, СБ-ВС выходной|НЕТ|98.73|50.50061999843484|36.57431003478089
